X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0.0159526,0.998784,,0.0159526,-0.0562728
0.0159532,0.903892,,0.0159532,-0.0489286
0.0159538,0.671391,,0.0159538,-0.0339894
0.0159545,0.336677,,0.0159545,-0.0137299
0.0159551,-0.0492939,,0.0159551,0.00876798
0.0159557,-0.42776,,0.0159557,0.0300806
0.0159563,-0.741103,,0.0159563,0.046961
0.015957,-0.94162,,0.015957,0.0568365
0.0159576,-0.998784,,0.0159576,0.058205
0.0159582,-0.903892,,0.0159582,0.0508626
0.0159588,-0.671391,,0.0159588,0.0359305
0.0159595,-0.336677,,0.0159595,0.0156792
0.0159601,0.0492939,,0.0159601,-0.00681434
0.0159607,0.42776,,0.0159607,-0.0281289
0.0159613,0.741103,,0.0159613,-0.0450164
0.015962,0.94162,,0.015962,-0.0549
0.0159626,0.998784,,0.0159626,-0.0562728
0.0159632,0.903892,,0.0159632,-0.0489286
0.0159638,0.671391,,0.0159638,-0.0339894
0.0159645,0.336677,,0.0159645,-0.0137299
0.0159651,-0.0492939,,0.0159651,0.00876798
0.0159657,-0.42776,,0.0159657,0.0300806
0.0159663,-0.741103,,0.0159663,0.046961
0.015967,-0.94162,,0.015967,0.0568365
0.0159676,-0.998784,,0.0159676,0.058205
0.0159682,-0.903892,,0.0159682,0.0508626
0.0159688,-0.671391,,0.0159688,0.0359305
0.0159695,-0.336677,,0.0159695,0.0156792
0.0159701,0.0492939,,0.0159701,-0.00681434
0.0159707,0.42776,,0.0159707,-0.0281289
0.0159713,0.741103,,0.0159713,-0.0450164
0.015972,0.94162,,0.015972,-0.0549
0.0159726,0.998784,,0.0159726,-0.0562728
0.0159732,0.903892,,0.0159732,-0.0489286
0.0159738,0.671391,,0.0159738,-0.0339894
0.0159745,0.336677,,0.0159745,-0.0137299
0.0159751,-0.0492939,,0.0159751,0.00876798
0.0159757,-0.42776,,0.0159757,0.0300806
0.0159763,-0.741103,,0.0159763,0.046961
0.015977,-0.94162,,0.015977,0.0568365
0.0159776,-0.998784,,0.0159776,0.058205
0.0159782,-0.903892,,0.0159782,0.0508626
0.0159788,-0.671391,,0.0159788,0.0359305
0.0159795,-0.336677,,0.0159795,0.0156792
0.0159801,0.0492939,,0.0159801,-0.00681434
0.0159807,0.42776,,0.0159807,-0.0281289
0.0159813,0.741103,,0.0159813,-0.0450164
0.015982,0.94162,,0.015982,-0.0549
0.0159826,0.998784,,0.0159826,-0.0562728
0.0159832,0.903892,,0.0159832,-0.0489286
0.0159838,0.671391,,0.0159838,-0.0339894
0.0159845,0.336677,,0.0159845,-0.0137299
0.0159851,-0.0492939,,0.0159851,0.00876798
0.0159857,-0.42776,,0.0159857,0.0300806
0.0159863,-0.741103,,0.0159863,0.046961
0.015987,-0.94162,,0.015987,0.0568365
0.0159876,-0.998784,,0.0159876,0.058205
0.0159882,-0.903892,,0.0159882,0.0508626
0.0159888,-0.671391,,0.0159888,0.0359305
0.0159895,-0.336677,,0.0159895,0.0156792
0.0159901,0.0492939,,0.0159901,-0.00681434
0.0159907,0.42776,,0.0159907,-0.0281289
0.0159913,0.741103,,0.0159913,-0.0450164
0.015992,0.94162,,0.015992,-0.0549
0.0159926,0.998784,,0.0159926,-0.0562728
0.0159932,0.903892,,0.0159932,-0.0489286
0.0159938,0.671391,,0.0159938,-0.0339894
0.0159945,0.336677,,0.0159945,-0.0137299
0.0159951,-0.0492939,,0.0159951,0.00876798
0.0159957,-0.42776,,0.0159957,0.0300806
0.0159963,-0.741103,,0.0159963,0.046961
0.015997,-0.94162,,0.015997,0.0568365
0.0159976,-0.998784,,0.0159976,0.058205
0.0159982,-0.903892,,0.0159982,0.0508626
0.0159988,-0.671391,,0.0159988,0.0359305
0.0159995,-0.336677,,0.0159995,0.0156792
0.0160001,0.0492939,,0.0160001,-0.00681434
